Genes/Conditions	dinI_U_N0025	dinP_U_N0025	lexA_U_N0025	lon_U_N0025	luc_U_N0025	mazF_U_N0025	recA_U_N0025	relA_U_N0025	ruvA_U_N0025	sulA_U_N0025	umuD_U_N0025	uvrA_U_N0025	yebF_U_N0075	luc_U_N0075	zipA_U_N0075	luc_U_N0000	b2618_U_N0075	bcp_U_N0075	cpxR_U_N0075	crcB_U_N0075	crp_U_N0075	cspF_U_N0075	dam_U_N0075	dnaA_U_N0075	dnaN_U_N0075	dnaT_U_N0075	emrR_U_N0075	era_U_N0075	fis_U_N0075	fklB_U_N0075	folA_U_N0075	galF_U_N0075	gcvR_U_N0075	gyrA_U_N0075	gyrI_U_N0075	hlpA_U_N0075	holD_U_N0075	hscA_U_N0075	IHF_U_N0075	ldrA_U_N0075	mcrB_U_N0075	mcrC_U_N0075	menB_U_N0075	menC_U_N0075	minD_U_N0075	minE_U_N0075	murI_U_N0075	yoeB_U_N0075	nrdA_U_N0075	nrdB_U_N0075	nupC_U_N0075	pyrC_U_N0075	rimI_U_N0075	rstB_U_N0075	ruvC_U_N0075	sbcB_U_N0075	uspA_U_N0075	WT_N0000	WT_N0025	WT_N0050	WT_N0075	recA_D_N0000	recA_D_N0050	recA_D_N0100	WT_D_N0100	luc2_U_N0025	luc2_U_N0000	T0_N0000	T12_N10000	T24_N10000	T24_N0000	T36_N10000	T48_N10000	T60_N10000	T60_N0000	ccdB_K12_t0	ccdB_K12_t30	ccdB_K12_t60	ccdB_K12_t90	ccdB_K12_t120	lacZ_K12_t0	lacZ_K12_t30	lacZ_K12_t60	lacZ_K12_t90	lacZ_K12_t120	lacZ_MG1063_t0	lacZ_MG1063_t30	lacZ_MG1063_t60	lacZ_MG1063_t90	lacZ_MG1063_120	ccdB_MG1063_t0	ccdB_MG1063_t30	ccdB_MG1063_t60	ccdB_MG1063_t90	ccdB_MG1063_t120	lacZ_W1863_t0	lacZ_W1863_t30	lacZ_W1863_t60	lacZ_W1863_t90	ccdB_W1872_t0	ccdB_W1872_t30	ccdB_W1872_t60	ccdB_W1872_t90	M9_K_appY	M9_K_arcA	M9_K_arcAfnr	M9_K_fnr	M9_K_oxyR	M9_K_soxS	M9_WT	M9_K_appY_anaerobic	M9_K_arcA_anaerobic	M9_K_arcAfnr_anaerobic	M9_K_fnr_anaerobic	M9_K_oxyR_anaerobic	M9_K_soxS_anaerobic	M9_WT_anaerobic	WT_MOPS_glucose	WT_MOPS_acetate	WT_MOPS_glycerol	WT_MOPS_proline	WT_MOPS_lateLog	WT_MOPS_stationary	WT_MOPS_stationary2	WT_MOPS_stationary3	WT_MOPS_stationary4	WT_MOPS_heatShock	WT_MOPS_acidShock	WT_MOPS_cipro	WT_MOPS_cipro2	MOPS_K_crp	MOPS_K_cspA	MOPS_K_dps	MOPS_K_dps_stationary	MOPS_K_dps_stationary2	MOPS_K_hns	MOPS_K_hupB	MGD1_t0	MGD1_t30	pET3d_t0	pET3d_t30	pepAA_t0	pepAA_t30	pepCO_t0	pepCO_t30	carbonSourceForaging	ast_pBAD18	ast_pBADsup2	fnr_wtAnaerobic	fnr_K_fnrAerobic
aaeA	7.122300148010254	7.195453643798828	7.0511932373046875	7.124199867248535	7.187340259552002	7.2076897621154785	7.196253299713135	6.952906608581543	7.06415319442749	7.037076950073242	7.1190266609191895	7.0858001708984375	7.199873447418213	7.325173377990723	7.222229957580566	7.08911657333374	7.360300064086914	7.352856636047363	7.414259910583496	7.320630073547363	7.24988317489624	7.329843044281006	7.241750240325928	7.279426574707031	7.296083450317383	7.426213264465332	7.133470058441162	7.392859935760498	7.362030029296875	7.531433582305908	7.434903144836426	7.38218355178833	7.304093360900879	7.4205498695373535	7.2742767333984375	7.374146461486816	7.22353982925415	7.269993305206299	7.273909568786621	7.545813083648682	7.360673427581787	7.4627532958984375	7.458400249481201	7.439990043640137	7.36682653427124	7.221416473388672	7.241750240325928	7.499563217163086	7.2117767333984375	7.177800178527832	7.382613182067871	7.532559871673584	7.3705735206604	7.429163455963135	7.259250164031982	7.30029296875	7.283812999725342	7.120325088500977	7.16786527633667	7.480070114135742	7.218595027923584	7.421840190887451	7.406320095062256	7.49884033203125	7.207350254058838	7.245235443115234	7.098275184631348	7.136906623840332	7.436999797821045	7.077423095703125	7.013786792755127	7.170889854431152	7.309983253479004	7.629293441772461	7.1011834144592285	6.957489967346191	7.091440200805664	7.166029930114746	7.08204984664917	7.090700149536133	6.857679843902588	7.006380081176758	7.2995100021362305	7.031720161437988	7.373990058898926	7.054325103759766	7.115809917449951	7.344204902648926	7.12923526763916	7.3048200607299805	6.993619918823242	7.272359848022461	7.301300048828125	7.448939800262451	7.72435998916626	6.982250213623047	6.965620040893555	6.976409912109375	7.300650119781494	6.8827900886535645	6.914589881896973	7.071149826049805	7.04272985458374	7.212533473968506	7.137193202972412	7.252923011779785	7.209623336791992	7.2576398849487305	7.142710208892822	7.248946666717529	7.277843475341797	7.145106792449951	7.232049942016602	7.255300045013428	7.246076583862305	7.215029716491699	7.3207526206970215	7.226868152618408	7.161365032196045	7.249790191650391	7.227940082550049	7.226466655731201	7.334619998931885	7.0248799324035645	7.112349987030029	7.290404796600342	6.368130207061768	7.065589904785156	7.278130054473877	7.010729789733887	7.112226486206055	7.210559844970703	7.175573348999023	7.364890098571777	7.587679862976074	6.954659938812256	7.273540019989014	7.024960041046143	7.4939398765563965	7.84621000289917	7.866775035858154	7.793260097503662	7.9421000480651855	7.822289943695068	7.623460292816162	7.200594902038574	7.197413444519043	7.142230033874512	7.320146560668945	7.381603240966797
aaeB	7.184416770935059	7.336609840393066	7.283376693725586	7.188263416290283	7.316736698150635	7.242983341217041	7.367286682128906	7.2630767822265625	7.311389923095703	7.308383464813232	7.320776462554932	7.219019889831543	7.310786724090576	7.356863498687744	7.345900058746338	7.1869001388549805	7.126976490020752	7.271693229675293	7.117239952087402	7.1574602127075195	7.040343284606934	7.246713161468506	7.149186611175537	7.220353603363037	7.094786643981934	7.095683574676514	7.057044982910156	7.120090007781982	7.172749996185303	7.268653392791748	7.292686939239502	7.319509983062744	7.1981635093688965	7.296840190887451	7.263619899749756	7.270050048828125	7.132103443145752	7.209183216094971	7.177910327911377	7.305480003356934	7.156630039215088	7.0519700050354	7.431073188781738	7.390089988708496	7.264736652374268	7.2650299072265625	7.11568021774292	6.8900465965271	7.102743148803711	7.114334583282471	7.335763454437256	7.215506553649902	7.06790018081665	7.288466453552246	7.120903491973877	7.339113235473633	7.1361799240112305	7.285604953765869	7.145534992218018	7.358479976654053	7.375144958496094	7.621370315551758	7.7011799812316895	7.665534973144531	7.839524745941162	7.329405307769775	7.284950256347656	7.444603443145752	7.485476493835449	7.579266548156738	7.156866550445557	7.486179828643799	7.67285680770874	7.815103530883789	7.3227667808532715	7.214099884033203	7.401199817657471	7.16372013092041	7.417510032653809	7.13286018371582	7.251709938049316	7.284279823303223	7.755569934844971	7.607940196990967	7.608809947967529	7.160290241241455	7.161774635314941	7.255809783935547	7.2026848793029785	7.209770202636719	7.095710277557373	7.282360076904297	7.400205135345459	7.588665008544922	7.783860206604004	7.30226993560791	7.1620402336120605	7.281350135803223	7.32381010055542	7.092770099639893	7.283530235290527	7.236480236053467	7.3461198806762695	7.254743576049805	7.209829807281494	7.228879928588867	7.089146614074707	7.206126689910889	7.247179985046387	7.258416652679443	7.168966770172119	7.11161994934082	7.248549938201904	7.19858980178833	7.084723472595215	7.210266590118408	7.124657154083252	7.502975940704346	7.463784694671631	7.417884826660156	7.443699836730957	7.4038801193237305	7.410254955291748	7.719719886779785	8.010589599609375	7.993810176849365	7.187049865722656	7.365954875946045	7.366799831390381	7.162869930267334	7.3518500328063965	7.367380142211914	7.4070634841918945	7.723204612731934	8.204000473022461	7.395986557006836	7.519229888916016	7.151609897613525	7.659255027770996	7.897655010223389	7.953639984130859	7.865294933319092	7.808384895324707	7.689809799194336	7.544534683227539	7.504955291748047	7.673419952392578	7.436033248901367	7.335026741027832	7.548786640167236
aaeR	7.902090072631836	7.9631667137146	7.847746849060059	7.943649768829346	7.832210063934326	7.921420097351074	7.7738800048828125	7.959400177001953	7.865226745605469	7.811026573181152	7.945213317871094	7.932806491851807	8.077010154724121	8.148019790649414	8.093396186828613	7.944650173187256	8.406473159790039	8.231346130371094	8.152520179748535	8.192839622497559	8.085233688354492	8.193300247192383	8.066280364990234	8.23332691192627	8.187273979187012	8.201189994812012	8.045650482177734	8.241889953613281	8.256086349487305	8.276163101196289	8.184356689453125	8.168593406677246	8.175006866455078	8.16374683380127	8.18613338470459	8.193679809570312	8.14898681640625	8.055617332458496	8.078094482421875	8.389223098754883	8.229880332946777	8.22562313079834	8.147016525268555	8.004217147827148	8.089520454406738	8.131946563720703	8.023222923278809	8.422276496887207	8.212666511535645	8.115010261535645	8.227046966552734	8.33236026763916	8.17100715637207	8.07430648803711	8.125833511352539	8.05801010131836	7.988699913024902	8.00117015838623	7.8997650146484375	8.20967960357666	8.233760833740234	7.805494785308838	7.8657002449035645	7.846949577331543	7.645275115966797	7.960104942321777	7.923395156860352	7.826399803161621	7.362556457519531	7.354813575744629	7.685293197631836	7.318779945373535	7.376579761505127	7.557819843292236	7.657306671142578	7.627280235290527	8.078780174255371	8.091429710388184	7.896490097045898	8.145569801330566	7.729030132293701	7.709099769592285	7.720170021057129	7.34568977355957	7.469620227813721	7.754899978637695	7.910140037536621	7.960969924926758	8.00763988494873	8.105050086975098	7.729644775390625	7.84366512298584	7.6506147384643555	7.7401652336120605	7.884190082550049	7.518249988555908	7.7340497970581055	7.915609836578369	8.259819984436035	7.663780212402344	7.703050136566162	7.751510143280029	7.642210006713867	8.200446128845215	7.986910343170166	8.192886352539062	8.081270217895508	8.231452941894531	8.085046768188477	8.170223236083984	8.228509902954102	8.037883758544922	7.992623329162598	8.13584041595459	8.30916976928711	8.292177200317383	8.341647148132324	7.490056037902832	7.566494941711426	7.629364967346191	7.626009941101074	7.332499980926514	7.271049976348877	7.165655136108398	7.706825256347656	7.385775089263916	6.7802300453186035	7.349645137786865	7.567989826202393	7.352530002593994	7.4124531745910645	7.581009864807129	7.542523384094238	7.608689785003662	7.780930042266846	7.1290202140808105	7.485770225524902	7.7060747146606445	7.901774883270264	8.572629928588867	8.27697467803955	8.620275497436523	8.139019966125488	7.961870193481445	7.946630001068115	7.703329563140869	7.555920124053955	7.503963470458984	7.80060338973999	7.739076614379883
aas	9.114206314086914	9.13330364227295	9.167487144470215	9.18947982788086	9.112330436706543	8.941109657287598	9.16979694366455	8.937936782836914	9.124509811401367	9.062173843383789	9.129843711853027	9.247346878051758	9.238836288452148	9.375123023986816	9.286003112792969	8.930540084838867	9.190736770629883	9.215740203857422	9.169857025146484	9.149323463439941	9.096369743347168	9.170829772949219	9.072943687438965	9.049552917480469	9.034649848937988	9.075736999511719	8.939974784851074	9.117913246154785	9.213979721069336	9.218253135681152	9.277090072631836	9.208270072937012	9.117480278015137	9.14975357055664	9.129420280456543	9.089439392089844	9.128626823425293	9.193570137023926	9.160895347595215	9.202286720275879	9.1670560836792	9.164870262145996	9.258310317993164	9.1776704788208	9.177876472473145	9.209217071533203	9.204859733581543	8.897603034973145	9.205940246582031	9.075155258178711	9.3510103225708	9.115723609924316	9.136739730834961	9.196176528930664	9.21871280670166	9.132856369018555	9.168169975280762	8.841025352478027	8.817329406738281	8.988134384155273	9.40439510345459	9.235779762268066	9.046699523925781	8.95499038696289	9.112074851989746	9.037455558776855	8.98563003540039	9.036656379699707	8.722332954406738	8.797379493713379	9.086420059204102	8.735183715820312	8.641753196716309	8.668709754943848	9.452736854553223	9.361800193786621	9.058489799499512	8.873169898986816	8.742509841918945	8.770719528198242	9.329019546508789	8.980159759521484	9.06719970703125	8.76842975616455	8.899259567260742	8.762430191040039	8.665400505065918	8.708114624023438	8.569930076599121	8.815150260925293	8.814485549926758	8.727509498596191	8.537079811096191	8.726759910583496	8.985529899597168	8.891329765319824	8.761670112609863	8.781479835510254	8.553549766540527	8.956419944763184	8.571590423583984	8.347439765930176	8.721710205078125	9.16179370880127	8.986656188964844	9.162893295288086	9.086796760559082	9.172249794006348	9.041996955871582	9.084930419921875	9.02147388458252	8.913323402404785	9.211703300476074	9.001850128173828	9.041056632995605	8.942792892456055	8.973134994506836	8.938735961914062	8.942299842834473	8.890934944152832	8.9189453125	8.969189643859863	8.932405471801758	9.093830108642578	9.209939956665039	8.917750358581543	8.394610404968262	8.847784996032715	8.586959838867188	8.662449836730957	9.044456481933594	8.985440254211426	9.030719757080078	9.251860618591309	8.947649955749512	8.632390022277832	8.941969871520996	8.251520156860352	8.506129264831543	9.202519416809082	8.646735191345215	8.789420127868652	8.859569549560547	8.809670448303223	8.891010284423828	8.792075157165527	8.914023399353027	8.89402961730957	9.071056365966797	9.139639854431152
aat	9.057120323181152	8.918723106384277	8.985483169555664	9.002663612365723	9.012553215026855	8.926810264587402	8.901593208312988	8.708173751831055	8.946486473083496	8.807963371276855	8.749732971191406	8.7253999710083	8.404516220092773	8.565866470336914	8.376397132873535	8.78242301940918	8.278463363647461	8.24846363067627	8.62519359588623	8.314726829528809	8.14933967590332	8.280463218688965	8.305379867553711	8.145400047302246	8.233773231506348	8.099813461303711	8.432424545288086	8.202923774719238	8.241947174072266	8.151376724243164	8.218890190124512	8.130733489990234	8.323559761047363	8.35296630859375	8.327672958374023	8.28145694732666	8.489653587341309	8.45219612121582	8.541279792785645	8.277966499328613	8.21951675415039	8.105196952819824	8.280743598937988	8.153303146362305	8.235676765441895	8.312089920043945	8.449976921081543	8.313349723815918	8.469953536987305	8.66302490234375	8.393499374389648	8.112796783447266	8.242643356323242	8.380319595336914	8.436803817749023	8.370920181274414	8.278483390808105	8.714885711669922	8.517990112304688	8.26891040802002	8.325935363769531	8.662294387817383	8.519989967346191	8.39721965789795	8.515649795532227	8.697669982910156	8.847249984741211	8.758296966552734	8.775616645812988	8.542540550231934	8.6387939453125	8.37325668334961	8.491477012634277	8.418723106384277	8.343887329101562	8.691740036010742	8.653409957885742	8.704910278320312	8.82174015045166	8.901419639587402	8.740440368652344	8.71975040435791	8.574020385742188	9.092260360717773	8.955599784851074	8.479755401611328	8.481459617614746	8.38841438293457	8.33636474609375	8.380849838256836	8.530009269714355	8.437174797058105	8.330270767211914	8.37677001953125	8.258870124816895	8.581680297851562	8.611419677734375	8.521069526672363	8.632889747619629	8.61166000366211	8.437080383300781	8.553890228271484	8.306300163269043	9.009530067443848	8.93295669555664	9.095023155212402	8.926863670349121	9.160552978515625	9.021966934204102	9.195257186889648	9.258346557617188	8.92490291595459	9.103333473205566	9.374166488647461	9.257140159606934	9.277406692504883	9.117477416992188	8.538955688476562	8.473435401916504	8.59412956237793	8.529845237731934	8.324027061462402	8.235039710998535	8.467074394226074	8.910399436950684	8.567580223083496	8.39070987701416	8.723949432373047	8.561079978942871	8.366809844970703	8.631636619567871	8.448920249938965	8.700519561767578	8.706364631652832	8.752059936523438	8.585836410522461	8.79384994506836	8.08905029296875	8.5918550491333	8.887234687805176	8.813619613647461	9.154399871826172	8.713305473327637	8.822504997253418	8.971965789794922	8.674139976501465	8.637829780578613	8.514683723449707	8.55560302734375	8.785286903381348
abgA	8.069219589233398	8.13443660736084	8.161540031433105	8.041586875915527	8.171903610229492	8.011126518249512	8.081363677978516	7.918306827545166	8.050430297851562	8.190146446228027	8.022939682006836	8.125643730163574	7.332906723022461	7.68101692199707	7.526440143585205	7.9491167068481445	7.329826831817627	7.321196556091309	7.0811333656311035	7.245983600616455	7.289663314819336	7.430383205413818	7.69261360168457	7.077633380889893	7.216893196105957	7.216843128204346	7.630119800567627	7.108039855957031	7.277209758758545	6.965153217315674	7.269440174102783	7.42971658706665	7.180429935455322	7.438759803771973	7.312767028808594	7.310223579406738	7.472063064575195	7.828949928283691	7.747184753417969	7.385246753692627	7.134363651275635	6.86653995513916	7.373553276062012	7.3535566329956055	7.138060092926025	7.522349834442139	7.483099937438965	7.1868133544921875	7.663036823272705	7.617100238800049	7.55553674697876	6.744326591491699	6.9260969161987305	7.358773231506348	7.482369899749756	7.4480366706848145	7.404386520385742	6.323514938354492	6.349374771118164	6.375685214996338	7.218795299530029	7.78525972366333	8.293145179748535	8.407205581665039	8.559619903564453	7.405680179595947	7.158685207366943	8.20403003692627	8.534476280212402	8.52510929107666	7.98586368560791	8.398853302001953	8.56657600402832	8.482640266418457	7.949289798736572	8.036419868469238	8.125880241394043	8.137829780578613	8.237509727478027	8.115830421447754	8.1525297164917	8.18142032623291	8.472399711608887	8.281390190124512	8.362950325012207	8.039414405822754	7.929265022277832	8.048894882202148	8.010174751281738	7.944149971008301	7.885089874267578	8.029085159301758	8.148900032043457	8.516804695129395	8.698089599609375	8.14342975616455	8.129050254821777	8.111490249633789	8.016960144042969	8.191100120544434	7.964409828186035	8.172920227050781	8.254759788513184	8.247986793518066	8.066332817077637	8.113033294677734	7.984250068664551	8.277310371398926	8.137367248535156	8.270516395568848	8.075459480285645	8.009803771972656	8.233180046081543	8.139423370361328	7.999380111694336	8.074349403381348	8.049507141113281	8.363853454589844	8.523329734802246	8.46066951751709	8.318614959716797	8.273246765136719	8.052334785461426	8.374549865722656	8.984370231628418	8.747149467468262	8.603650093078613	8.50064468383789	8.532659530639648	8.399109840393066	8.121206283569336	8.27340030670166	8.42651653289795	8.615830421447754	8.986570358276367	8.183286666870117	8.668160438537598	7.872614860534668	9.03915023803711	8.181445121765137	8.871274948120117	8.669269561767578	8.664525032043457	8.517669677734375	8.423255920410156	8.478185653686523	8.428339958190918	8.40995979309082	8.396659851074219	8.48799991607666
abgB	7.183589935302734	7.306053161621094	7.424439907073975	7.184603214263916	7.315286636352539	7.211986541748047	7.324646949768066	6.988289833068848	7.281559944152832	7.346896648406982	7.432276725769043	7.3554768562316895	6.442136764526367	6.949729919433594	6.784956932067871	7.282413482666016	6.531630039215088	6.615323543548584	6.283323287963867	6.442276477813721	6.582880020141602	6.685403347015381	6.856673240661621	6.443673610687256	6.556640148162842	6.607530117034912	7.00501012802124	6.398343086242676	6.631563186645508	6.138776779174805	6.568263530731201	6.654023170471191	6.382637023925781	6.833736896514893	6.585763454437256	6.626250267028809	6.843969821929932	7.09196662902832	7.096459865570068	6.79854679107666	6.427846431732178	6.064909934997559	6.532080173492432	6.57878303527832	6.343363285064697	6.7695698738098145	6.747896671295166	6.362790107727051	7.029923439025879	7.014120101928711	6.85633659362793	6.029603481292725	6.2599334716796875	6.552923202514648	6.777053356170654	6.67747688293457	6.621303558349609	5.531924724578857	5.5854997634887695	5.653050422668457	6.299030303955078	7.064730167388916	7.523819923400879	7.709029674530029	7.89394998550415	6.673274993896484	6.201364994049072	7.462856769561768	7.778143405914307	7.758999824523926	7.450890064239502	7.692176818847656	7.766570091247559	7.732510089874268	7.438469886779785	7.474870204925537	7.518539905548096	7.486949920654297	7.595439910888672	7.399099826812744	7.452439785003662	7.523670196533203	7.778069972991943	7.749360084533691	7.789060115814209	7.535179615020752	7.495205402374268	7.581775188446045	7.460124969482422	7.6272501945495605	7.370830059051514	7.525240421295166	7.5437703132629395	7.763655185699463	7.989630222320557	7.543920040130615	7.621059894561768	7.574679851531982	7.518099784851074	7.50029993057251	7.436069965362549	7.669919967651367	7.691050052642822	7.7318434715271	7.612786769866943	7.572000026702881	7.57849645614624	7.778536796569824	7.68748664855957	7.837063312530518	7.5235700607299805	7.575656890869141	7.568620204925537	7.69987678527832	7.43379020690918	7.604919910430908	7.609902381896973	7.938176155090332	8.118959426879883	7.9876203536987305	7.926414966583252	7.657899856567383	7.667109966278076	7.569065093994141	8.059880256652832	7.874275207519531	7.756579875946045	7.9595794677734375	7.932779788970947	7.598420143127441	7.482093334197998	7.681369781494141	7.7563700675964355	7.965655326843262	7.969629764556885	7.687103271484375	7.927239894866943	7.0360798835754395	8.511185646057129	8.36822509765625	7.951244831085205	7.961519718170166	8.180789947509766	7.976624965667725	8.166080474853516	8.032279968261719	7.775239944458008	7.948716640472412	7.737573146820068	7.891759872436523
abgR	7.12873649597168	7.2522101402282715	7.297393321990967	7.1218366622924805	7.347063064575195	7.0610198974609375	7.174413204193115	6.99183988571167	7.136829853057861	7.296943187713623	7.263289928436279	7.259496688842773	6.365906715393066	6.752910137176514	6.637746810913086	7.14168643951416	6.153033256530762	6.325003147125244	6.022890090942383	6.328753471374512	6.213026523590088	6.408780097961426	6.7460103034973145	6.089443206787109	6.281383514404297	6.272590160369873	6.725210189819336	6.036836624145508	6.3839898109436035	5.941200256347656	6.28438663482666	6.394346714019775	6.182903289794922	6.542783260345459	6.272493362426758	6.464043140411377	6.562323093414307	6.959466934204102	6.908300399780273	6.332723140716553	6.063586711883545	5.651516914367676	6.3748297691345215	6.408193111419678	6.077229976654053	6.607213497161865	6.533969879150391	6.182673454284668	6.871546745300293	6.805819988250732	6.566686630249023	5.690053462982178	5.767119884490967	6.372759819030762	6.487393379211426	6.478466510772705	6.419666767120361	5.480440139770508	5.385930061340332	5.377725124359131	6.191364765167236	6.97513484954834	7.287129878997803	7.3508100509643555	7.505434989929199	6.531710147857666	6.082515239715576	7.350719928741455	7.465559959411621	7.324886798858643	7.185850143432617	7.222306728363037	7.382486820220947	7.315836429595947	7.16814661026001	7.685969829559326	7.643159866333008	7.532949924468994	7.533549785614014	7.510479927062988	7.669899940490723	7.457799911499023	7.668499946594238	7.470240116119385	7.404970169067383	7.542435169219971	7.253660202026367	7.436219692230225	7.433849811553955	7.587820053100586	7.46883487701416	7.250179767608643	7.403720378875732	7.516365051269531	7.522769927978516	7.657360076904297	7.650790214538574	7.641190052032471	7.45743989944458	7.679100036621094	7.217659950256348	7.251200199127197	7.433909893035889	7.589706897735596	7.510553359985352	7.444936752319336	7.374093532562256	7.714613437652588	7.530689716339111	7.733706474304199	7.495933532714844	7.505876541137695	7.5229034423828125	7.557326793670654	7.46030330657959	7.525396823883057	7.596024990081787	7.682395935058594	8.255595207214355	7.986854553222656	7.863895416259766	7.521729946136475	7.801324844360352	7.969894886016846	8.243804931640625	7.017505168914795	7.977149963378906	7.738555431365967	7.727590084075928	7.451580047607422	7.458946704864502	7.779439926147461	7.7686567306518555	7.888424873352051	8.00883960723877	7.541703224182129	8.014410018920898	6.555175304412842	7.710170269012451	7.501955032348633	7.620669841766357	7.806445121765137	8.183579444885254	7.670214653015137	7.795984745025635	7.934154987335205	7.898933410644531	7.816959857940674	7.703406810760498	7.76464319229126
abgT	6.488363265991211	6.53126335144043	6.645936965942383	6.605783462524414	6.617853164672852	6.479756832122803	6.58597993850708	6.31622314453125	6.497646331787109	6.534853458404541	6.513026714324951	6.609910011291504	5.831779956817627	6.359483242034912	6.008019924163818	6.560283184051514	5.736376762390137	5.827693462371826	5.574793338775635	5.7451934814453125	5.79844331741333	5.875303268432617	6.012149810791016	5.741603374481201	5.7400898933410645	5.795559883117676	6.1686201095581055	5.619120121002197	5.772610187530518	5.361953258514404	5.720113277435303	5.807650089263916	5.710206508636475	6.000969886779785	5.891580104827881	5.892433166503906	6.035580158233643	6.382183074951172	6.304965019226074	5.8808064460754395	5.717583179473877	5.339513301849365	5.813843250274658	5.795046806335449	5.669973373413086	5.918103218078613	5.998153209686279	5.769973278045654	6.235926628112793	6.084790229797363	6.128876686096191	5.265383243560791	5.424056529998779	5.758399963378906	5.957366466522217	5.860476970672607	5.812873363494873	5.182509899139404	5.164714813232422	5.095534801483154	5.748315334320068	6.279980182647705	6.6528801918029785	6.591060161590576	6.77947998046875	5.896824836730957	5.835860252380371	6.575926780700684	6.871009826660156	6.908143520355225	6.555813312530518	6.6524200439453125	6.750669956207275	6.67218017578125	6.600633144378662	6.989699840545654	6.734630107879639	6.819680213928223	6.8506999015808105	6.551499843597412	6.957240104675293	6.8412299156188965	6.894700050354004	6.9562201499938965	6.963029861450195	6.650279998779297	6.576725006103516	6.682655334472656	6.677334785461426	6.748770236968994	6.6056647300720215	6.656040191650391	6.778224945068359	6.740990161895752	6.9348602294921875	6.873960018157959	6.794479846954346	6.93002986907959	6.802730083465576	6.65749979019165	6.580039978027344	6.708970069885254	6.698369979858398	6.891623497009277	6.667369842529297	6.728759765625	6.617266654968262	6.919370174407959	6.821406841278076	7.0212931632995605	6.794376850128174	6.7706732749938965	6.818453311920166	6.730896472930908	6.675893306732178	6.745369911193848	6.741204738616943	7.545621871948242	7.4352545738220215	7.339224815368652	7.264349937438965	7.861849784851074	7.991519927978516	7.743390083312988	7.778059959411621	7.8004150390625	7.697179794311523	7.348709583282471	7.243850231170654	7.268549919128418	7.3786301612854	7.560329914093018	7.429693222045898	7.500679969787598	7.242760181427002	7.58765983581543	7.62647008895874	6.8142499923706055	7.3865251541137695	6.897785186767578	7.211679935455322	7.103410243988037	7.322940349578857	7.4083404541015625	7.218230247497559	7.391469955444336	7.621406555175781	7.68435001373291	7.365729808807373	7.305746555328369
abrB	8.119736671447754	8.091727256774902	8.092392921447754	8.022799491882324	8.068880081176758	8.000536918640137	8.122363090515137	7.826226711273193	8.041112899780273	8.099176406860352	8.075416564941406	8.047137260437012	7.740023136138916	7.683039665222168	7.75085973739624	8.114506721496582	7.825183391571045	7.799923419952393	7.972370147705078	7.971726894378662	7.779269695281982	7.876826763153076	7.924309730529785	7.82928991317749	7.680616855621338	7.777896881103516	7.848225116729736	7.734690189361572	7.812950134277344	7.902349948883057	7.869306564331055	7.788000106811523	7.858139991760254	7.839159965515137	7.905056476593018	7.892093658447266	7.813666820526123	7.848283290863037	7.7114996910095215	7.833046913146973	7.765219688415527	7.805516719818115	7.936399936676025	7.9512200355529785	7.740950107574463	7.807536602020264	7.868956565856934	7.736159801483154	7.821793079376221	7.717935085296631	7.954713344573975	7.77987003326416	7.772433280944824	7.796780109405518	7.699533462524414	7.68436336517334	7.76417350769043	8.034280776977539	7.857019901275635	7.863804817199707	7.611449718475342	8.070915222167969	8.287890434265137	8.393404960632324	8.379549980163574	8.017594337463379	8.015130043029785	8.173643112182617	8.39546012878418	8.091007232666016	7.903273582458496	8.119973182678223	8.337940216064453	8.204123497009277	7.857876777648926	8.464139938354492	9.080280303955078	9.006159782409668	9.123860359191895	8.230259895324707	8.43120002746582	8.868229866027832	8.947190284729004	9.113969802856445	8.434929847717285	8.437335014343262	8.069780349731445	8.464715003967285	8.684154510498047	8.686639785766602	8.128660202026367	8.230549812316895	8.371620178222656	8.387664794921875	8.264169692993164	8.378210067749023	8.34805965423584	8.552800178527832	9.247870445251465	8.350749969482422	8.297309875488281	8.729280471801758	8.478280067443848	7.917749881744385	7.911499977111816	7.866893291473389	7.819330215454102	7.762613296508789	7.8644700050354	7.980286598205566	8.287177085876465	7.995160102844238	7.8449931144714355	7.970366954803467	8.260353088378906	8.088190078735352	8.345854759216309	8.27737808227539	8.286520004272461	8.20363998413086	8.197565078735352	8.167773246765137	8.109834671020508	8.619569778442383	8.787284851074219	8.885250091552734	8.728500366210938	8.460390090942383	8.293959617614746	8.491959571838379	8.155183792114258	8.418299674987793	8.262969970703125	8.549309730529785	8.800049781799316	8.118876457214355	8.34257984161377	6.672209739685059	8.252260208129883	7.154969692230225	8.209684371948242	8.490224838256836	8.190420150756836	8.503719329833984	8.26402473449707	8.303045272827148	8.302352905273438	8.34257698059082	8.231880187988281	8.153849601745605
